Unnamed: 0,from_site_id,to_site_id,rtt,loss,type,biz_ts,real_time
6827081,wuxi-telecom-2,wuhan-telecom,14.4594,0.0,icmp,1590940740,2020-05-31 15:59:00+00:00
6827305,wuxi-telecom-2,wuhan-telecom,14.0693,0.0,icmp,1590940860,2020-05-31 16:01:00+00:00
6827546,wuxi-telecom-2,wuhan-telecom,13.5723,0.0,icmp,1590940939,2020-05-31 16:02:19+00:00
6827770,wuxi-telecom-2,wuhan-telecom,13.5331,0.0,icmp,1590941059,2020-05-31 16:04:19+00:00
6827967,wuxi-telecom-2,wuhan-telecom,13.7977,0.0,icmp,1590941179,2020-05-31 16:06:19+00:00
6828205,wuxi-telecom-2,wuhan-telecom,14.4066,0.0,icmp,1590941340,2020-05-31 16:09:00+00:00
6828445,wuxi-telecom-2,wuhan-telecom,13.5614,0.0,icmp,1590941479,2020-05-31 16:11:19+00:00
6828668,wuxi-telecom-2,wuhan-telecom,14.8059,0.0,icmp,1590941580,2020-05-31 16:13:00+00:00
6828889,wuxi-telecom-2,wuhan-telecom,15.0297,0.0,icmp,1590941700,2020-05-31 16:15:00+00:00
6829098,wuxi-telecom-2,wuhan-telecom,13.7475,0.0,icmp,1590941839,2020-05-31 16:17:19+00:00
6829310,wuxi-telecom-2,wuhan-telecom,15.0348,0.0,icmp,1590941940,2020-05-31 16:19:00+00:00
6829526,wuxi-telecom-2,wuhan-telecom,14.8889,0.0,icmp,1590942060,2020-05-31 16:21:00+00:00
6829756,wuxi-telecom-2,wuhan-telecom,13.5256,0.0,icmp,1590942199,2020-05-31 16:23:19+00:00
6830007,wuxi-telecom-2,wuhan-telecom,14.8029,0.0,icmp,1590942300,2020-05-31 16:25:00+00:00
6830212,wuxi-telecom-2,wuhan-telecom,14.0699,0.0,icmp,1590942379,2020-05-31 16:26:19+00:00
6830446,wuxi-telecom-2,wuhan-telecom,13.8697,0.0,icmp,1590942499,2020-05-31 16:28:19+00:00
6830668,wuxi-telecom-2,wuhan-telecom,13.7417,0.0,icmp,1590942619,2020-05-31 16:30:19+00:00
6830887,wuxi-telecom-2,wuhan-telecom,13.5952,0.0,icmp,1590942799,2020-05-31 16:33:19+00:00
6831088,wuxi-telecom-2,wuhan-telecom,15.3738,0.0,icmp,1590942900,2020-05-31 16:35:00+00:00
6831329,wuxi-telecom-2,wuhan-telecom,14.3029,0.0,icmp,1590943020,2020-05-31 16:37:00+00:00
6831566,wuxi-telecom-2,wuhan-telecom,16.5114,0.0,icmp,1590943140,2020-05-31 16:39:00+00:00
6831776,wuxi-telecom-2,wuhan-telecom,14.6254,0.0,icmp,1590943260,2020-05-31 16:41:00+00:00
6832013,wuxi-telecom-2,wuhan-telecom,13.8012,0.0,icmp,1590943380,2020-05-31 16:43:00+00:00
6832219,wuxi-telecom-2,wuhan-telecom,14.5228,0.0,icmp,1590943500,2020-05-31 16:45:00+00:00
6832448,wuxi-telecom-2,wuhan-telecom,14.0695,0.0,icmp,1590943620,2020-05-31 16:47:00+00:00
6832638,wuxi-telecom-2,wuhan-telecom,16.5397,0.0,icmp,1590943740,2020-05-31 16:49:00+00:00
6832906,wuxi-telecom-2,wuhan-telecom,16.1519,0.0,icmp,1590943860,2020-05-31 16:51:00+00:00
6833117,wuxi-telecom-2,wuhan-telecom,15.3737,0.0,icmp,1590943980,2020-05-31 16:53:00+00:00
6833337,wuxi-telecom-2,wuhan-telecom,14.7046,0.0,icmp,1590944100,2020-05-31 16:55:00+00:00
6833570,wuxi-telecom-2,wuhan-telecom,13.9477,0.0,icmp,1590944179,2020-05-31 16:56:19+00:00
6833784,wuxi-telecom-2,wuhan-telecom,13.6561,0.0,icmp,1590944359,2020-05-31 16:59:19+00:00
6833995,wuxi-telecom-2,wuhan-telecom,14.8657,0.0,icmp,1590944460,2020-05-31 17:01:00+00:00
6834239,wuxi-telecom-2,wuhan-telecom,13.5473,0.0,icmp,1590944599,2020-05-31 17:03:19+00:00
6834469,wuxi-telecom-2,wuhan-telecom,15.0957,0.0,icmp,1590944700,2020-05-31 17:05:00+00:00
6834682,wuxi-telecom-2,wuhan-telecom,15.1365,0.0,icmp,1590944820,2020-05-31 17:07:00+00:00
6834882,wuxi-telecom-2,wuhan-telecom,13.8078,0.0,icmp,1590944899,2020-05-31 17:08:19+00:00
6835106,wuxi-telecom-2,wuhan-telecom,13.6378,0.0,icmp,1590945019,2020-05-31 17:10:19+00:00
6835341,wuxi-telecom-2,wuhan-telecom,13.9402,0.0,icmp,1590945180,2020-05-31 17:13:00+00:00
6835564,wuxi-telecom-2,wuhan-telecom,14.2066,0.0,icmp,1590945300,2020-05-31 17:15:00+00:00
6835793,wuxi-telecom-2,wuhan-telecom,19.0816,0.0,icmp,1590945420,2020-05-31 17:17:00+00:00
6836027,wuxi-telecom-2,wuhan-telecom,19.7975,0.0,icmp,1590945540,2020-05-31 17:19:00+00:00
6836232,wuxi-telecom-2,wuhan-telecom,22.978,0.0,icmp,1590945660,2020-05-31 17:21:00+00:00
6836450,wuxi-telecom-2,wuhan-telecom,13.6007,0.0,icmp,1590945799,2020-05-31 17:23:19+00:00
6836674,wuxi-telecom-2,wuhan-telecom,13.5388,0.0,icmp,1590945919,2020-05-31 17:25:19+00:00
6836900,wuxi-telecom-2,wuhan-telecom,17.2051,0.0,icmp,1590946020,2020-05-31 17:27:00+00:00
6837110,wuxi-telecom-2,wuhan-telecom,15.0072,0.0,icmp,1590946140,2020-05-31 17:29:00+00:00
6837347,wuxi-telecom-2,wuhan-telecom,14.4524,0.0,icmp,1590946260,2020-05-31 17:31:00+00:00
6837590,wuxi-telecom-2,wuhan-telecom,15.2234,0.0,icmp,1590946380,2020-05-31 17:33:00+00:00
6837815,wuxi-telecom-2,wuhan-telecom,14.2347,0.0,icmp,1590946500,2020-05-31 17:35:00+00:00
6838013,wuxi-telecom-2,wuhan-telecom,15.3615,0.0,icmp,1590946620,2020-05-31 17:37:00+00:00
6838234,wuxi-telecom-2,wuhan-telecom,16.8262,0.0,icmp,1590946740,2020-05-31 17:39:00+00:00
6838454,wuxi-telecom-2,wuhan-telecom,14.1511,0.0,icmp,1590946860,2020-05-31 17:41:00+00:00
6838685,wuxi-telecom-2,wuhan-telecom,18.3691,0.0,icmp,1590946980,2020-05-31 17:43:00+00:00
6838896,wuxi-telecom-2,wuhan-telecom,13.527,0.0,icmp,1590947119,2020-05-31 17:45:19+00:00
6839135,wuxi-telecom-2,wuhan-telecom,14.2358,0.0,icmp,1590947220,2020-05-31 17:47:00+00:00
6839378,wuxi-telecom-2,wuhan-telecom,14.2046,0.0,icmp,1590947340,2020-05-31 17:49:00+00:00
6839563,wuxi-telecom-2,wuhan-telecom,13.6163,0.0,icmp,1590947479,2020-05-31 17:51:19+00:00
6839795,wuxi-telecom-2,wuhan-telecom,14.5868,0.0,icmp,1590947580,2020-05-31 17:53:00+00:00
6840027,wuxi-telecom-2,wuhan-telecom,13.6805,0.0,icmp,1590947719,2020-05-31 17:55:19+00:00
6840247,wuxi-telecom-2,wuhan-telecom,18.0604,0.0,icmp,1590947820,2020-05-31 17:57:00+00:00
6840470,wuxi-telecom-2,wuhan-telecom,16.4099,0.0,icmp,1590947940,2020-05-31 17:59:00+00:00
6840717,wuxi-telecom-2,wuhan-telecom,13.6193,0.0,icmp,1590948079,2020-05-31 18:01:19+00:00
6840902,wuxi-telecom-2,wuhan-telecom,17.9263,0.0,icmp,1590948180,2020-05-31 18:03:00+00:00
6841128,wuxi-telecom-2,wuhan-telecom,15.2513,0.0,icmp,1590948300,2020-05-31 18:05:00+00:00
6841341,wuxi-telecom-2,wuhan-telecom,15.2363,0.0,icmp,1590948420,2020-05-31 18:07:00+00:00
6841589,wuxi-telecom-2,wuhan-telecom,13.7847,0.0,icmp,1590948559,2020-05-31 18:09:19+00:00
6841801,wuxi-telecom-2,wuhan-telecom,14.6253,0.0,icmp,1590948660,2020-05-31 18:11:00+00:00
6842034,wuxi-telecom-2,wuhan-telecom,14.5148,0.0,icmp,1590948780,2020-05-31 18:13:00+00:00
6842249,wuxi-telecom-2,wuhan-telecom,16.2506,0.0,icmp,1590948900,2020-05-31 18:15:00+00:00
6842462,wuxi-telecom-2,wuhan-telecom,18.2687,0.0,icmp,1590949020,2020-05-31 18:17:00+00:00
6842697,wuxi-telecom-2,wuhan-telecom,15.2418,0.0,icmp,1590949140,2020-05-31 18:19:00+00:00
6842905,wuxi-telecom-2,wuhan-telecom,13.8497,0.0,icmp,1590949279,2020-05-31 18:21:19+00:00
6843158,wuxi-telecom-2,wuhan-telecom,13.672,0.0,icmp,1590949399,2020-05-31 18:23:19+00:00
6843352,wuxi-telecom-2,wuhan-telecom,13.5773,0.0,icmp,1590949519,2020-05-31 18:25:19+00:00
6843581,wuxi-telecom-2,wuhan-telecom,14.1224,0.0,icmp,1590949620,2020-05-31 18:27:00+00:00
6843827,wuxi-telecom-2,wuhan-telecom,14.9486,0.0,icmp,1590949740,2020-05-31 18:29:00+00:00
6844009,wuxi-telecom-2,wuhan-telecom,14.3919,0.0,icmp,1590949860,2020-05-31 18:31:00+00:00
6844249,wuxi-telecom-2,wuhan-telecom,14.182,0.0,icmp,1590949980,2020-05-31 18:33:00+00:00
6844469,wuxi-telecom-2,wuhan-telecom,14.2402,0.0,icmp,1590950100,2020-05-31 18:35:00+00:00
6844709,wuxi-telecom-2,wuhan-telecom,15.2729,0.0,icmp,1590950220,2020-05-31 18:37:00+00:00
6844936,wuxi-telecom-2,wuhan-telecom,14.1759,0.0,icmp,1590950340,2020-05-31 18:39:00+00:00
6845147,wuxi-telecom-2,wuhan-telecom,14.392,0.0,icmp,1590950460,2020-05-31 18:41:00+00:00
6845369,wuxi-telecom-2,wuhan-telecom,19.1807,0.0,icmp,1590950580,2020-05-31 18:43:00+00:00
6845611,wuxi-telecom-2,wuhan-telecom,17.217,0.0,icmp,1590950700,2020-05-31 18:45:00+00:00
6845838,wuxi-telecom-2,wuhan-telecom,13.5833,0.0,icmp,1590950779,2020-05-31 18:46:19+00:00
6846047,wuxi-telecom-2,wuhan-telecom,14.8599,0.0,icmp,1590950940,2020-05-31 18:49:00+00:00
6846256,wuxi-telecom-2,wuhan-telecom,14.1044,0.0,icmp,1590951060,2020-05-31 18:51:00+00:00
6846482,wuxi-telecom-2,wuhan-telecom,17.4183,0.0,icmp,1590951180,2020-05-31 18:53:00+00:00
6846705,wuxi-telecom-2,wuhan-telecom,13.5912,0.0,icmp,1590951319,2020-05-31 18:55:19+00:00
6846934,wuxi-telecom-2,wuhan-telecom,14.3241,0.0,icmp,1590951420,2020-05-31 18:57:00+00:00
6847185,wuxi-telecom-2,wuhan-telecom,13.6449,0.0,icmp,1590951499,2020-05-31 18:58:19+00:00
6847380,wuxi-telecom-2,wuhan-telecom,13.7988,0.0,icmp,1590951679,2020-05-31 19:01:19+00:00
6847614,wuxi-telecom-2,wuhan-telecom,14.0928,0.0,icmp,1590951780,2020-05-31 19:03:00+00:00
6847834,wuxi-telecom-2,wuhan-telecom,13.5137,0.0,icmp,1590951919,2020-05-31 19:05:19+00:00
6848058,wuxi-telecom-2,wuhan-telecom,17.5291,0.0,icmp,1590952020,2020-05-31 19:07:00+00:00
6848283,wuxi-telecom-2,wuhan-telecom,14.6153,0.0,icmp,1590952140,2020-05-31 19:09:00+00:00
6848481,wuxi-telecom-2,wuhan-telecom,14.6857,0.0,icmp,1590952260,2020-05-31 19:11:00+00:00
6848722,wuxi-telecom-2,wuhan-telecom,13.5997,0.0,icmp,1590952399,2020-05-31 19:13:19+00:00
6848945,wuxi-telecom-2,wuhan-telecom,14.254,0.0,icmp,1590952500,2020-05-31 19:15:00+00:00
6849155,wuxi-telecom-2,wuhan-telecom,13.5331,0.0,icmp,1590952579,2020-05-31 19:16:19+00:00
6849395,wuxi-telecom-2,wuhan-telecom,13.773,0.0,icmp,1590952740,2020-05-31 19:19:00+00:00
6849629,wuxi-telecom-2,wuhan-telecom,17.5704,0.0,icmp,1590952860,2020-05-31 19:21:00+00:00
6849824,wuxi-telecom-2,wuhan-telecom,19.4042,0.0,icmp,1590952980,2020-05-31 19:23:00+00:00
6850047,wuxi-telecom-2,wuhan-telecom,13.5261,0.0,icmp,1590953119,2020-05-31 19:25:19+00:00
6850288,wuxi-telecom-2,wuhan-telecom,14.725,0.0,icmp,1590953220,2020-05-31 19:27:00+00:00
6850509,wuxi-telecom-2,wuhan-telecom,23.1223,0.0,icmp,1590953340,2020-05-31 19:29:00+00:00
6850763,wuxi-telecom-2,wuhan-telecom,13.8333,0.0,icmp,1590953479,2020-05-31 19:31:19+00:00
6850964,wuxi-telecom-2,wuhan-telecom,14.1589,0.0,icmp,1590953580,2020-05-31 19:33:00+00:00
6851177,wuxi-telecom-2,wuhan-telecom,14.369,0.0,icmp,1590953700,2020-05-31 19:35:00+00:00
6851418,wuxi-telecom-2,wuhan-telecom,13.8106,0.0,icmp,1590953820,2020-05-31 19:37:00+00:00
6851607,wuxi-telecom-2,wuhan-telecom,14.3866,0.0,icmp,1590953940,2020-05-31 19:39:00+00:00
6851843,wuxi-telecom-2,wuhan-telecom,16.6596,0.0,icmp,1590954060,2020-05-31 19:41:00+00:00
6852047,wuxi-telecom-2,wuhan-telecom,17.9498,0.0,icmp,1590954180,2020-05-31 19:43:00+00:00
6852293,wuxi-telecom-2,wuhan-telecom,21.9445,0.0,icmp,1590954300,2020-05-31 19:45:00+00:00
6852493,wuxi-telecom-2,wuhan-telecom,15.0748,0.0,icmp,1590954420,2020-05-31 19:47:00+00:00
6852733,wuxi-telecom-2,wuhan-telecom,13.904,0.0,icmp,1590954559,2020-05-31 19:49:19+00:00
6852958,wuxi-telecom-2,wuhan-telecom,14.1815,0.0,icmp,1590954679,2020-05-31 19:51:19+00:00
6853179,wuxi-telecom-2,wuhan-telecom,13.7315,0.0,icmp,1590954780,2020-05-31 19:53:00+00:00
6853387,wuxi-telecom-2,wuhan-telecom,14.2487,0.0,icmp,1590954900,2020-05-31 19:55:00+00:00
6853613,wuxi-telecom-2,wuhan-telecom,14.943,0.0,icmp,1590955020,2020-05-31 19:57:00+00:00
6853844,wuxi-telecom-2,wuhan-telecom,15.1488,0.0,icmp,1590955140,2020-05-31 19:59:00+00:00
6854080,wuxi-telecom-2,wuhan-telecom,13.8924,0.0,icmp,1590955279,2020-05-31 20:01:19+00:00
6854315,wuxi-telecom-2,wuhan-telecom,15.2822,0.0,icmp,1590955380,2020-05-31 20:03:00+00:00
6854520,wuxi-telecom-2,wuhan-telecom,14.1676,0.0,icmp,1590955500,2020-05-31 20:05:00+00:00
6854767,wuxi-telecom-2,wuhan-telecom,14.6543,0.0,icmp,1590955620,2020-05-31 20:07:00+00:00
6854961,wuxi-telecom-2,wuhan-telecom,14.8922,0.0,icmp,1590955740,2020-05-31 20:09:00+00:00
6855193,wuxi-telecom-2,wuhan-telecom,14.175,0.0,icmp,1590955860,2020-05-31 20:11:00+00:00
6855425,wuxi-telecom-2,wuhan-telecom,15.4239,0.0,icmp,1590955980,2020-05-31 20:13:00+00:00
6855636,wuxi-telecom-2,wuhan-telecom,13.9373,0.0,icmp,1590956100,2020-05-31 20:15:00+00:00
6855867,wuxi-telecom-2,wuhan-telecom,16.8853,0.0,icmp,1590956220,2020-05-31 20:17:00+00:00
6856084,wuxi-telecom-2,wuhan-telecom,16.031,0.0,icmp,1590956340,2020-05-31 20:19:00+00:00
6856303,wuxi-telecom-2,wuhan-telecom,13.6867,0.0,icmp,1590956419,2020-05-31 20:20:19+00:00
6856539,wuxi-telecom-2,wuhan-telecom,14.277,0.0,icmp,1590956580,2020-05-31 20:23:00+00:00
6856733,wuxi-telecom-2,wuhan-telecom,14.2268,0.0,icmp,1590956700,2020-05-31 20:25:00+00:00
6856969,wuxi-telecom-2,wuhan-telecom,14.1504,0.0,icmp,1590956820,2020-05-31 20:27:00+00:00
6857186,wuxi-telecom-2,wuhan-telecom,14.6648,0.0,icmp,1590956940,2020-05-31 20:29:00+00:00
6857412,wuxi-telecom-2,wuhan-telecom,13.7179,0.0,icmp,1590957079,2020-05-31 20:31:19+00:00
6857625,wuxi-telecom-2,wuhan-telecom,14.7186,0.0,icmp,1590957180,2020-05-31 20:33:00+00:00
6857862,wuxi-telecom-2,wuhan-telecom,13.9086,0.0,icmp,1590957300,2020-05-31 20:35:00+00:00
6858097,wuxi-telecom-2,wuhan-telecom,13.5276,0.0,icmp,1590957439,2020-05-31 20:37:19+00:00
6858309,wuxi-telecom-2,wuhan-telecom,13.8926,0.0,icmp,1590957540,2020-05-31 20:39:00+00:00
6858536,wuxi-telecom-2,wuhan-telecom,21.2619,0.0,icmp,1590957660,2020-05-31 20:41:00+00:00
6858775,wuxi-telecom-2,wuhan-telecom,21.0208,0.0,icmp,1590957780,2020-05-31 20:43:00+00:00
6858987,wuxi-telecom-2,wuhan-telecom,14.432,0.0,icmp,1590957900,2020-05-31 20:45:00+00:00
6859209,wuxi-telecom-2,wuhan-telecom,16.5316,0.0,icmp,1590958020,2020-05-31 20:47:00+00:00
6859410,wuxi-telecom-2,wuhan-telecom,13.9649,0.0,icmp,1590958159,2020-05-31 20:49:19+00:00
6859638,wuxi-telecom-2,wuhan-telecom,14.0384,0.0,icmp,1590958260,2020-05-31 20:51:00+00:00
6859865,wuxi-telecom-2,wuhan-telecom,15.644,0.0,icmp,1590958380,2020-05-31 20:53:00+00:00
6860093,wuxi-telecom-2,wuhan-telecom,13.5575,0.0,icmp,1590958519,2020-05-31 20:55:19+00:00
6860323,wuxi-telecom-2,wuhan-telecom,14.5672,0.0,icmp,1590958620,2020-05-31 20:57:00+00:00
6860555,wuxi-telecom-2,wuhan-telecom,13.5946,0.0,icmp,1590958759,2020-05-31 20:59:19+00:00
6860749,wuxi-telecom-2,wuhan-telecom,13.7406,0.0,icmp,1590958879,2020-05-31 21:01:19+00:00
6860971,wuxi-telecom-2,wuhan-telecom,14.2387,0.0,icmp,1590958980,2020-05-31 21:03:00+00:00
6861220,wuxi-telecom-2,wuhan-telecom,15.4472,0.0,icmp,1590959100,2020-05-31 21:05:00+00:00
6861444,wuxi-telecom-2,wuhan-telecom,16.4422,0.0,icmp,1590959220,2020-05-31 21:07:00+00:00
6861677,wuxi-telecom-2,wuhan-telecom,13.7418,0.0,icmp,1590959359,2020-05-31 21:09:19+00:00
6861869,wuxi-telecom-2,wuhan-telecom,13.8087,0.0,icmp,1590959479,2020-05-31 21:11:19+00:00
6862101,wuxi-telecom-2,wuhan-telecom,13.6153,0.0,icmp,1590959599,2020-05-31 21:13:19+00:00
6862322,wuxi-telecom-2,wuhan-telecom,14.2014,0.0,icmp,1590959700,2020-05-31 21:15:00+00:00
6862529,wuxi-telecom-2,wuhan-telecom,14.2711,0.0,icmp,1590959820,2020-05-31 21:17:00+00:00
6862788,wuxi-telecom-2,wuhan-telecom,13.9971,0.0,icmp,1590959940,2020-05-31 21:19:00+00:00
6862993,wuxi-telecom-2,wuhan-telecom,14.4653,0.0,icmp,1590960060,2020-05-31 21:21:00+00:00
6863208,wuxi-telecom-2,wuhan-telecom,14.1878,0.0,icmp,1590960180,2020-05-31 21:23:00+00:00
6863444,wuxi-telecom-2,wuhan-telecom,13.6365,0.0,icmp,1590960259,2020-05-31 21:24:19+00:00
6863679,wuxi-telecom-2,wuhan-telecom,13.5379,0.0,icmp,1590960379,2020-05-31 21:26:19+00:00
6863878,wuxi-telecom-2,wuhan-telecom,14.7579,0.0,icmp,1590960540,2020-05-31 21:29:00+00:00
6864093,wuxi-telecom-2,wuhan-telecom,15.0854,0.0,icmp,1590960660,2020-05-31 21:31:00+00:00
6864340,wuxi-telecom-2,wuhan-telecom,13.6094,0.0,icmp,1590960739,2020-05-31 21:32:19+00:00
6864560,wuxi-telecom-2,wuhan-telecom,13.9538,0.0,icmp,1590960900,2020-05-31 21:35:00+00:00
6864772,wuxi-telecom-2,wuhan-telecom,14.5723,0.0,icmp,1590961020,2020-05-31 21:37:00+00:00
6864999,wuxi-telecom-2,wuhan-telecom,13.6004,0.0,icmp,1590961099,2020-05-31 21:38:19+00:00
6865229,wuxi-telecom-2,wuhan-telecom,13.7492,0.0,icmp,1590961219,2020-05-31 21:40:19+00:00
6865434,wuxi-telecom-2,wuhan-telecom,15.0866,0.0,icmp,1590961380,2020-05-31 21:43:00+00:00
6865665,wuxi-telecom-2,wuhan-telecom,13.8085,0.0,icmp,1590961519,2020-05-31 21:45:19+00:00
6865906,wuxi-telecom-2,wuhan-telecom,13.6116,0.0,icmp,1590961639,2020-05-31 21:47:19+00:00
6866139,wuxi-telecom-2,wuhan-telecom,14.4274,0.0,icmp,1590961740,2020-05-31 21:49:00+00:00
6866339,wuxi-telecom-2,wuhan-telecom,13.7656,0.0,icmp,1590961879,2020-05-31 21:51:19+00:00
6866550,wuxi-telecom-2,wuhan-telecom,17.5936,0.0,icmp,1590961980,2020-05-31 21:53:00+00:00
6866808,wuxi-telecom-2,wuhan-telecom,13.5879,0.0,icmp,1590962059,2020-05-31 21:54:19+00:00
6867015,wuxi-telecom-2,wuhan-telecom,13.9969,0.0,icmp,1590962220,2020-05-31 21:57:00+00:00
6867206,wuxi-telecom-2,wuhan-telecom,13.8879,0.0,icmp,1590962299,2020-05-31 21:58:19+00:00
6867437,wuxi-telecom-2,wuhan-telecom,14.0377,0.0,icmp,1590962479,2020-05-31 22:01:19+00:00
6867681,wuxi-telecom-2,wuhan-telecom,15.2583,0.0,icmp,1590962580,2020-05-31 22:03:00+00:00
6867906,wuxi-telecom-2,wuhan-telecom,14.5421,0.0,icmp,1590962700,2020-05-31 22:05:00+00:00
6868125,wuxi-telecom-2,wuhan-telecom,17.2615,0.0,icmp,1590962820,2020-05-31 22:07:00+00:00
6868354,wuxi-telecom-2,wuhan-telecom,17.4787,0.0,icmp,1590962940,2020-05-31 22:09:00+00:00
6868567,wuxi-telecom-2,wuhan-telecom,18.4914,0.0,icmp,1590963060,2020-05-31 22:11:00+00:00
6868800,wuxi-telecom-2,wuhan-telecom,14.296,0.0,icmp,1590963180,2020-05-31 22:13:00+00:00
6869005,wuxi-telecom-2,wuhan-telecom,18.8255,0.0,icmp,1590963300,2020-05-31 22:15:00+00:00
6869229,wuxi-telecom-2,wuhan-telecom,14.7621,0.0,icmp,1590963420,2020-05-31 22:17:00+00:00
6869453,wuxi-telecom-2,wuhan-telecom,13.709,0.0,icmp,1590963559,2020-05-31 22:19:19+00:00
6869679,wuxi-telecom-2,wuhan-telecom,16.1374,0.0,icmp,1590963660,2020-05-31 22:21:00+00:00
6869899,wuxi-telecom-2,wuhan-telecom,13.6424,0.0,icmp,1590963799,2020-05-31 22:23:19+00:00
6870132,wuxi-telecom-2,wuhan-telecom,14.2025,0.0,icmp,1590963900,2020-05-31 22:25:00+00:00
6870336,wuxi-telecom-2,wuhan-telecom,14.2773,0.0,icmp,1590964020,2020-05-31 22:27:00+00:00
6870574,wuxi-telecom-2,wuhan-telecom,14.4282,0.0,icmp,1590964140,2020-05-31 22:29:00+00:00
6870787,wuxi-telecom-2,wuhan-telecom,14.3833,0.0,icmp,1590964260,2020-05-31 22:31:00+00:00
6871031,wuxi-telecom-2,wuhan-telecom,16.5296,0.0,icmp,1590964380,2020-05-31 22:33:00+00:00
6871236,wuxi-telecom-2,wuhan-telecom,15.0263,0.0,icmp,1590964500,2020-05-31 22:35:00+00:00
6871450,wuxi-telecom-2,wuhan-telecom,16.2567,0.0,icmp,1590964620,2020-05-31 22:37:00+00:00
6871679,wuxi-telecom-2,wuhan-telecom,13.6014,0.0,icmp,1590964759,2020-05-31 22:39:19+00:00
6871931,wuxi-telecom-2,wuhan-telecom,14.3947,0.0,icmp,1590964860,2020-05-31 22:41:00+00:00
6872121,wuxi-telecom-2,wuhan-telecom,15.0486,0.0,icmp,1590964980,2020-05-31 22:43:00+00:00
6872343,wuxi-telecom-2,wuhan-telecom,13.5904,0.0,icmp,1590965059,2020-05-31 22:44:19+00:00
6872602,wuxi-telecom-2,wuhan-telecom,13.5977,0.0,icmp,1590965179,2020-05-31 22:46:19+00:00
6872800,wuxi-telecom-2,wuhan-telecom,16.45,0.0,icmp,1590965340,2020-05-31 22:49:00+00:00
6873039,wuxi-telecom-2,wuhan-telecom,13.8171,0.0,icmp,1590965479,2020-05-31 22:51:19+00:00
6873237,wuxi-telecom-2,wuhan-telecom,13.6482,0.0,icmp,1590965599,2020-05-31 22:53:19+00:00
6873458,wuxi-telecom-2,wuhan-telecom,13.8015,0.0,icmp,1590965719,2020-05-31 22:55:19+00:00
6873695,wuxi-telecom-2,wuhan-telecom,14.3842,0.0,icmp,1590965820,2020-05-31 22:57:00+00:00
6873939,wuxi-telecom-2,wuhan-telecom,14.1358,0.0,icmp,1590965940,2020-05-31 22:59:00+00:00
6874131,wuxi-telecom-2,wuhan-telecom,15.248,0.0,icmp,1590966060,2020-05-31 23:01:00+00:00
6874352,wuxi-telecom-2,wuhan-telecom,18.5579,0.0,icmp,1590966180,2020-05-31 23:03:00+00:00
6874574,wuxi-telecom-2,wuhan-telecom,14.5747,0.0,icmp,1590966300,2020-05-31 23:05:00+00:00
6874825,wuxi-telecom-2,wuhan-telecom,14.7109,0.0,icmp,1590966420,2020-05-31 23:07:00+00:00
6875053,wuxi-telecom-2,wuhan-telecom,15.2771,0.0,icmp,1590966540,2020-05-31 23:09:00+00:00
6875277,wuxi-telecom-2,wuhan-telecom,14.4261,0.0,icmp,1590966660,2020-05-31 23:11:00+00:00
6875489,wuxi-telecom-2,wuhan-telecom,21.1238,0.0,icmp,1590966780,2020-05-31 23:13:00+00:00
6875687,wuxi-telecom-2,wuhan-telecom,14.2931,0.0,icmp,1590966900,2020-05-31 23:15:00+00:00
6875915,wuxi-telecom-2,wuhan-telecom,14.6884,0.0,icmp,1590967020,2020-05-31 23:17:00+00:00
6876141,wuxi-telecom-2,wuhan-telecom,14.3924,0.0,icmp,1590967140,2020-05-31 23:19:00+00:00
6876360,wuxi-telecom-2,wuhan-telecom,14.4373,0.0,icmp,1590967260,2020-05-31 23:21:00+00:00
6876628,wuxi-telecom-2,wuhan-telecom,15.9988,0.0,icmp,1590967380,2020-05-31 23:23:00+00:00
6876813,wuxi-telecom-2,wuhan-telecom,14.78,0.0,icmp,1590967500,2020-05-31 23:25:00+00:00
6877064,wuxi-telecom-2,wuhan-telecom,14.3226,0.0,icmp,1590967620,2020-05-31 23:27:00+00:00
6877259,wuxi-telecom-2,wuhan-telecom,16.0157,0.0,icmp,1590967740,2020-05-31 23:29:00+00:00
6877497,wuxi-telecom-2,wuhan-telecom,14.3538,0.0,icmp,1590967860,2020-05-31 23:31:00+00:00
6877709,wuxi-telecom-2,wuhan-telecom,13.7757,0.0,icmp,1590967999,2020-05-31 23:33:19+00:00
6877932,wuxi-telecom-2,wuhan-telecom,14.2889,0.0,icmp,1590968100,2020-05-31 23:35:00+00:00
6878155,wuxi-telecom-2,wuhan-telecom,13.5885,0.0,icmp,1590968179,2020-05-31 23:36:19+00:00
6878401,wuxi-telecom-2,wuhan-telecom,14.0444,0.0,icmp,1590968340,2020-05-31 23:39:00+00:00
6878599,wuxi-telecom-2,wuhan-telecom,22.1289,0.0,icmp,1590968460,2020-05-31 23:41:00+00:00
6878832,wuxi-telecom-2,wuhan-telecom,15.0774,0.0,icmp,1590968580,2020-05-31 23:43:00+00:00
6879055,wuxi-telecom-2,wuhan-telecom,14.0513,0.0,icmp,1590968700,2020-05-31 23:45:00+00:00
6879279,wuxi-telecom-2,wuhan-telecom,16.7314,0.0,icmp,1590968820,2020-05-31 23:47:00+00:00
6879477,wuxi-telecom-2,wuhan-telecom,14.1133,0.0,icmp,1590968940,2020-05-31 23:49:00+00:00
